Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric,138.707500,-78.620000,0.000000,top
C2,30p,C_0402_1005Metric,122.827500,-109.470000,180.000000,top
C3,30p,C_0402_1005Metric,125.787500,-109.470000,0.000000,top
C4,1uF,C_0603_1608Metric,138.707500,-84.820000,180.000000,top
C5,1uF,C_0603_1608Metric,137.907500,-94.620000,-90.000000,top
C6,100nF,C_0402_1005Metric,124.800000,-91.000000,0.000000,top
C7,100nF,C_0402_1005Metric,123.850000,-106.000000,180.000000,top
C8,100nF,C_0402_1005Metric,121.700000,-84.600000,90.000000,top
C9,100nF,C_0402_1005Metric,136.307500,-94.820000,-90.000000,top
C10,100nF,C_0402_1005Metric,121.107500,-102.620000,90.000000,top
C11,100nF,C_0402_1005Metric,136.307500,-102.120000,-90.000000,top
C12,100nF,C_0402_1005Metric,130.707500,-106.220000,180.000000,top
C13,1uF,C_0603_1608Metric,131.107500,-107.820000,180.000000,top
C14,100nF,C_0402_1005Metric,141.507500,-96.420000,180.000000,top
C15,100nF,C_0402_1005Metric,141.507500,-105.220000,180.000000,top
C16,100nF,C_0402_1005Metric,145.907500,-96.420000,0.000000,top
C17,100nF,C_0402_1005Metric,145.907500,-105.220000,0.000000,top
C18,100nF,C_0402_1005Metric,141.507500,-87.620000,180.000000,top
C19,100nF,C_0402_1005Metric,141.507500,-114.020000,180.000000,top
C20,100nF,C_0402_1005Metric,145.907500,-87.620000,0.000000,top
C21,100nF,C_0402_1005Metric,145.907500,-114.020000,0.000000,top
D1,WHITE,LED_0805_2012Metric,143.307500,-83.620000,-90.000000,top
D2,YELLOW,LED_0805_2012Metric,134.107500,-83.620000,-90.000000,top
D3,RED,LED_0805_2012Metric,123.907500,-119.220000,0.000000,top
D4,GREEN,LED_0805_2012Metric,129.307500,-119.220000,0.000000,top
D5,BLUE,LED_0805_2012Metric,134.707500,-119.220000,0.000000,top
J1,SWJ-DP,PinHeader_2x10_P2.54mm_Vertical,116.775000,-113.345000,180.000000,top
J2,USB_B_Micro,USB_Micro-B_XKB_U254-051T-4BH83-F1S,130.907500,-74.420000,180.000000,top
J3,ZIF 32 DIP Socket,DIP_Socket-32_W11.9_W12.7_W15.24_W17.78_W18.5_3M_232-1285-00-0602J,154.107500,-84.960000,0.000000,top
R1,220,R_0402_1005Metric,143.307500,-81.020000,180.000000,top
R2,220,R_0402_1005Metric,134.107500,-81.020000,0.000000,top
R3,100,R_0402_1005Metric,123.907500,-121.220000,0.000000,top
R4,10k,R_0603_1608Metric,119.500000,-83.450000,90.000000,top
R5,10k,R_0603_1608Metric,117.500000,-83.450000,90.000000,top
R6,10k,R_0603_1608Metric,115.500000,-83.450000,90.000000,top
R7,100,R_0402_1005Metric,129.307500,-121.220000,0.000000,top
R8,100,R_0402_1005Metric,134.707500,-121.220000,0.000000,top
R9,10k,R_0603_1608Metric,137.862500,-125.000000,180.000000,top
R10,10k,R_0603_1608Metric,127.087500,-125.000000,180.000000,top
SW1,Boot0,SW_SWDT_SMD_0.8x1.4_0.8x2,137.995000,-129.400000,0.000000,top
SW2,Reset,SW_SMD_1.8x1.35_4.15,124.000000,-84.600000,90.000000,top
SW3,Boot1,SW_SWDT_SMD_0.8x1.4_0.8x2,127.200000,-129.400000,0.000000,top
U1,TPMIC5504-3.3YM5,SOT-23-5,138.707500,-81.620000,-90.000000,top
U2,STM32F103RBT6,LQFP-64_10x10mm_P0.5mm,128.707500,-98.620000,90.000000,top
U3,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,143.707500,-100.820000,0.000000,top
U4,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,143.707500,-109.620000,0.000000,top
U5,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,143.707500,-92.020000,0.000000,top
U6,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,143.707500,-118.420000,0.000000,top
Y1,8MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,124.307500,-112.220000,180.000000,top
